"Sources","Meand15N","SDd15N","Meand13C","SDd13C","Meand34S","SDd34S","n"
"CRAVIR",2.6,1.25,1,1,0.6,0.5,100
"live mangrove leaves",6.5,1.25,2.5,1,1.5,0.5,100
"live spartina leaves and stems",6.5,1.25,2.5,1,1.5,0.5,100
"benthic algae",6.5,1.25,2.5,1,1.5,0.5,100
