"Sources","Meand15N","SDd15N","Meand13C","SDd13C","Meand34S","SDd34S","n"
"CRAVIR",0,0.75,0,0.6,0,0.3,100
"live mangrove leaves",3.9,0.75,1.5,0.6,0.9,0.3,100
"live spartina leaves and stems",3.9,0.75,1.5,0.6,0.9,0.3,100
"benthic algae",3.9,0.75,1.5,0.6,0.9,0.3,100
