"Sources","Meand15N","SDd15N","Meand13C","SDd13C","Meand34S","SDd34S","n"
"CRAVIR",-1.3,0.5,-0.5,0.4,-0.3,0.2,100
"live mangrove leaves",2.6,0.5,1,0.4,0.6,0.2,100
"live spartina leaves and stems",2.6,0.5,1,0.4,0.6,0.2,100
"benthic algae",2.6,0.5,1,0.4,0.6,0.2,100
