"Sources","Meand15N","SDd15N","Meand13C","SDd13C","Meand34S","SDd34S","n"
"CRAVIR",1.3,1,0.5,0.8,0.3,0.4,100
"live mangrove leaves",5.2,1,2,0.8,1.2,0.4,100
"live spartina leaves and stems",5.2,1,2,0.8,1.2,0.4,100
"benthic algae",5.2,1,2,0.8,1.2,0.4,100
